# emapper version: emapper-1.0.3-40-g41a8498 emapper DB: 2.0
# command: ./emapper.py  -i Gemella_haemolysans_20925_1_85/annotation/Gemella_haemolysans_20925_1_85.faa --output Gemella_haemolysans_20925_1_85/Gemella_haemolysans_20925_1_85.eggnog -m diamond -d bact --override
# time: Sun Oct 25 22:22:38 2020
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction
ECPHKHJP_00033	546270.GEMHA0001_0605	1.8e-86	325.1	Bacillales incertae sedis	trmL	GO:0001510,GO:0002128,GO:0002130,GO:0002131,GO:0002132,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008168,GO:0008173,GO:0008175,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016300,GO:0016427,GO:0016740,GO:0016741,GO:0030488,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042802,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0052665,GO:0052666,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360	2.1.1.207	ko:K03216					ko00000,ko01000,ko03016				Bacteria	1V3GW@1239,3WE66@539002,4HFNY@91061,COG0219@1,COG0219@2	NA|NA|NA	J	Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family. TrmL subfamily
ECPHKHJP_00034	546270.GEMHA0001_0604	6.7e-81	306.6	Bacillales incertae sedis	ybeY	GO:0000469,GO:0000478,GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004540,GO:0005488,GO:0006139,GO:0006355,GO:0006364,GO:0006396,GO:0006412,GO:0006518,GO:0006725,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009266,GO:0009408,GO:0009628,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0016072,GO:0016151,GO:0016787,GO:0016788,GO:0016892,GO:0016894,GO:0019219,GO:0019222,GO:0019538,GO:0022613,GO:0030490,GO:0031323,GO:0031326,GO:0031554,GO:0031564,GO:0034470,GO:0034641,GO:0034645,GO:0034660,GO:0042254,GO:0042274,GO:0043043,GO:0043167,GO:0043169,GO:0043170,GO:0043244,GO:0043603,GO:0043604,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0046483,GO:0046872,GO:0046914,GO:0050789,GO:0050794,GO:0050896,GO:0051128,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0140098,GO:1901360,GO:1901564,GO:1901566,GO:1901576,GO:1903506,GO:2000112,GO:2001141	2.6.99.2,3.5.4.5	ko:K01489,ko:K03474,ko:K03595,ko:K07042	ko00240,ko00750,ko00983,ko01100,map00240,map00750,map00983,map01100	M00124	R01878,R02485,R05838,R08221	RC00074,RC00514,RC01476	ko00000,ko00001,ko00002,ko01000,ko03009,ko03029				Bacteria	1V6BU@1239,3WETC@539002,4HIIE@91061,COG0319@1,COG0319@2	NA|NA|NA	S	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA
ECPHKHJP_00035	562981.HMPREF0428_00208	2.9e-165	587.8	Bacillales incertae sedis	era	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006275,GO:0008150,GO:0008156,GO:0009889,GO:0009890,GO:0009892,GO:0010556,GO:0010558,GO:0010605,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019003,GO:0019219,GO:0019222,GO:0030174,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032297,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044424,GO:0044444,GO:0044464,GO:0045934,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0051052,GO:0051053,GO:0051171,GO:0051172,GO:0051302,GO:0051781,GO:0060255,GO:0065007,GO:0071944,GO:0080090,GO:0090329,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:2000104,GO:2000112,GO:2000113		ko:K03595,ko:K06883					ko00000,ko03009,ko03029				Bacteria	1TP3R@1239,3WEAA@539002,4H9WF@91061,COG1159@1,COG1159@2	NA|NA|NA	S	An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism
ECPHKHJP_00036	546270.GEMHA0001_0602	3.9e-128	464.2	Bacillales incertae sedis	recO	GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009295,GO:0009987,GO:0033554,GO:0034641,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043590,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:1901360		ko:K03584	ko03440,map03440				ko00000,ko00001,ko03400				Bacteria	1TXG6@1239,3WEEH@539002,4I6EZ@91061,COG1381@1,COG1381@2	NA|NA|NA	L	Involved in DNA repair and RecF pathway recombination
ECPHKHJP_00037	546270.GEMHA0001_0601	1.3e-140	505.8	Bacillales incertae sedis	murI	GO:0000270,GO:0003674,GO:0003824,GO:0004857,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0006022,GO:0006023,GO:0006024,GO:0006807,GO:0008150,GO:0008152,GO:0008657,GO:0008881,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009987,GO:0010911,GO:0016020,GO:0016853,GO:0016854,GO:0016855,GO:0030203,GO:0030234,GO:0032780,GO:0034645,GO:0036361,GO:0042030,GO:0042546,GO:0042802,GO:0043086,GO:0043170,GO:0043462,GO:0044036,GO:0044038,GO:0044085,GO:0044092,GO:0044237,GO:0044249,GO:0044260,GO:0044464,GO:0047661,GO:0050790,GO:0051336,GO:0051346,GO:0060589,GO:0060590,GO:0065007,GO:0065009,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:0071944,GO:0072586,GO:0098772,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576,GO:2000371,GO:2000372	3.6.1.66,5.1.1.3	ko:K01776,ko:K02428	ko00230,ko00471,ko01100,map00230,map00471,map01100		R00260,R00426,R00720,R01855,R02100,R02720,R03531	RC00002,RC00302	ko00000,ko00001,ko01000,ko01011			iYO844.BSU28390	Bacteria	1TPPR@1239,3WDZP@539002,4HA46@91061,COG0796@1,COG0796@2	NA|NA|NA	M	Provides the (R)-glutamate required for cell wall biosynthesis
ECPHKHJP_00038	546270.GEMHA0001_0600	3.1e-96	357.8	Bacillales incertae sedis	rdgB	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009141,GO:0009143,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0018130,GO:0019438,GO:0019439,GO:0019637,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046434,GO:0046483,GO:0046700,GO:0047429,GO:0055086,GO:0071704,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901575,GO:1901576	3.6.1.66,5.1.1.3	ko:K01776,ko:K02428	ko00230,ko00471,ko01100,map00230,map00471,map01100		R00260,R00426,R00720,R01855,R02100,R02720,R03531	RC00002,RC00302	ko00000,ko00001,ko01000,ko01011			iAF987.Gmet_1875	Bacteria	1V6RN@1239,3WE4M@539002,4HCP6@91061,COG0127@1,COG0127@2	NA|NA|NA	F	Pyrophosphatase that catalyzes the hydrolysis of nucleoside triphosphates to their monophosphate derivatives, with a high preference for the non-canonical purine nucleotides XTP (xanthosine triphosphate), dITP (deoxyinosine triphosphate) and ITP. Seems to function as a house-cleaning enzyme that removes non-canonical purine nucleotides from the nucleotide pool, thus preventing their incorporation into DNA RNA and avoiding chromosomal lesions
ECPHKHJP_00039	546270.GEMHA0001_0599	1.5e-32	144.8	Bacillales incertae sedis	fer	GO:0003674,GO:0003824,GO:0005488,GO:0006091,GO:0008150,GO:0008152,GO:0009055,GO:0009987,GO:0016491,GO:0022900,GO:0044237,GO:0048037,GO:0051536,GO:0051539,GO:0051540,GO:0055114		ko:K05337					ko00000				Bacteria	1VAC2@1239,3WF2N@539002,4HKG7@91061,COG1141@1,COG1141@2	NA|NA|NA	C	4Fe-4S single cluster domain of Ferredoxin I
ECPHKHJP_00040	546270.GEMHA0001_0598	0.0	1334.3	Bacillales incertae sedis	ftsK			ko:K03466					ko00000,ko03036	3.A.12			Bacteria	1TPJR@1239,3WEAN@539002,4H9WA@91061,COG1674@1,COG1674@2	NA|NA|NA	D	Belongs to the FtsK SpoIIIE SftA family
ECPHKHJP_00041	546270.GEMHA0001_0597	1.5e-35	156.8	Bacillales incertae sedis													Bacteria	1U9YF@1239,29RFX@1,30CIN@2,3WF2X@539002,4IK68@91061	NA|NA|NA		
ECPHKHJP_00042	546270.GEMHA0001_0596	1.6e-92	345.5	Bacillales incertae sedis	pgsA	GO:0006629,GO:0006644,GO:0006650,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0009058,GO:0009987,GO:0019637,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0045017,GO:0046474,GO:0046486,GO:0071704,GO:0090407,GO:1901576	2.7.8.41,2.7.8.5	ko:K00995,ko:K08744	ko00564,ko01100,map00564,map01100		R01801,R02030	RC00002,RC00017,RC02795	ko00000,ko00001,ko01000			iSB619.SA_RS06365	Bacteria	1V6PJ@1239,3WEAM@539002,4HCEX@91061,COG0558@1,COG0558@2	NA|NA|NA	I	Belongs to the CDP-alcohol phosphatidyltransferase class-I family
ECPHKHJP_00043	546270.GEMHA0001_0595	4.6e-78	297.4	Bacillales incertae sedis													Bacteria	1V3IB@1239,3WF26@539002,4HH5X@91061,COG2320@1,COG2320@2	NA|NA|NA	S	GrpB protein
ECPHKHJP_00044	546270.GEMHA0001_0594	1.5e-33	148.3	Bacteria													Bacteria	2CA4F@1,33DCB@2	NA|NA|NA		
ECPHKHJP_00045	546270.GEMHA0001_0593	4.3e-189	667.2	Bacillales incertae sedis	xerS	GO:0000150,GO:0003674,GO:0003824,GO:0006139,GO:0006259,GO:0006310,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008907,GO:0009009,GO:0009037,GO:0009987,GO:0015074,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0071704,GO:0090304,GO:0140097,GO:1901360		ko:K04763					ko00000,ko03036				Bacteria	1V0KQ@1239,3WG5E@539002,4HDPQ@91061,COG4974@1,COG4974@2	NA|NA|NA	L	Phage integrase family
ECPHKHJP_00046	546270.GEMHA0001_0592	5.4e-26	122.9	Bacillales incertae sedis	rpmB	GO:0003674,GO:0003735,GO:0005198		ko:K02902	ko03010,map03010	M00178			br01610,ko00000,ko00001,ko00002,ko03011				Bacteria	1VEI2@1239,3WF27@539002,4HNIK@91061,COG0227@1,COG0227@2	NA|NA|NA	J	Belongs to the bacterial ribosomal protein bL28 family
ECPHKHJP_00047	546270.GEMHA0001_0591	2.7e-194	684.9	Bacillales incertae sedis	gntT	GO:0003674,GO:0005215,GO:0005342,GO:0005351,GO:0005402,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0008028,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0008643,GO:0015075,GO:0015077,GO:0015078,GO:0015128,GO:0015144,GO:0015291,GO:0015293,GO:0015294,GO:0015295,GO:0015318,GO:0015568,GO:0015672,GO:0015711,GO:0015718,GO:0015726,GO:0015849,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0022890,GO:0031224,GO:0031226,GO:0034219,GO:0034220,GO:0035429,GO:0042873,GO:0042879,GO:0044425,GO:0044459,GO:0044464,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0098655,GO:0098656,GO:0098660,GO:0098662,GO:1902600,GO:1903825,GO:1905039		ko:K03299,ko:K06155,ko:K06157,ko:K16321					ko00000,ko02000	2.A.8,2.A.8.1.2,2.A.8.1.3,2.A.8.1.4		iHN637.CLJU_RS05690,iHN637.CLJU_RS13905,iSSON_1240.SSON_3547	Bacteria	1TQ14@1239,3WE06@539002,4HB0Y@91061,COG2610@1,COG2610@2	NA|NA|NA	EG	GntP family permease
ECPHKHJP_00048	546270.GEMHA0001_0590	9.5e-84	316.2	Bacillales incertae sedis													Bacteria	1V426@1239,3WFH2@539002,4IR4E@91061,COG3797@1,COG3797@2	NA|NA|NA	S	Protein of unknown function (DUF1697)
ECPHKHJP_00049	546270.GEMHA0001_0589	3.5e-97	360.9	Bacillales incertae sedis	efp	GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006412,GO:0006414,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576		ko:K02356					ko00000,ko03012				Bacteria	1TR8P@1239,3WE2I@539002,4H9YX@91061,COG0231@1,COG0231@2	NA|NA|NA	J	Involved in peptide bond synthesis. Stimulates efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase
ECPHKHJP_00050	546270.GEMHA0001_0588	3.2e-118	431.0	Bacillales incertae sedis	trmB	GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008168,GO:0008173,GO:0008175,GO:0008176,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016423,GO:0016740,GO:0016741,GO:0030488,GO:0032259,GO:0032991,GO:0034470,GO:0034641,GO:0034660,GO:0034708,GO:0036265,GO:0040007,GO:0043170,GO:0043412,GO:0043414,GO:0043527,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0106004,GO:0140098,GO:0140101,GO:1901360,GO:1902494,GO:1990234	2.1.1.297,2.1.1.33	ko:K02493,ko:K03439			R10806	RC00003,RC03279	ko00000,ko01000,ko03012,ko03016				Bacteria	1TQCA@1239,3WEN5@539002,4HC08@91061,COG0220@1,COG0220@2	NA|NA|NA	J	Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA
ECPHKHJP_00051	546270.GEMHA0001_0587	0.0	1816.6	Bacillales incertae sedis	CP_0875			ko:K06972					ko00000,ko01000,ko01002				Bacteria	1TPD1@1239,3WEFY@539002,4HBA8@91061,COG1026@1,COG1026@2	NA|NA|NA	S	Peptidase M16C associated
ECPHKHJP_00052	546270.GEMHA0001_0586	9.1e-92	342.8	Bacillales incertae sedis	apt	GO:0003674,GO:0003824,GO:0003999,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006144,GO:0006168,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009112,GO:0009113,GO:0009987,GO:0016740,GO:0016757,GO:0016763,GO:0018130,GO:0019438,GO:0034641,GO:0034654,GO:0042440,GO:0043094,GO:0043096,GO:0043101,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046083,GO:0046084,GO:0046112,GO:0046148,GO:0046483,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.4.2.7	ko:K00759	ko00230,ko01100,map00230,map01100		R00190,R01229,R04378	RC00063	ko00000,ko00001,ko01000,ko04147				Bacteria	1V1BV@1239,3WENM@539002,4HFUA@91061,COG0503@1,COG0503@2	NA|NA|NA	F	Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis
ECPHKHJP_00053	546270.GEMHA0001_0585	7.8e-61	239.6	Bacillales incertae sedis	yqkB												Bacteria	1VK6M@1239,3WFMI@539002,4HRFS@91061,COG4918@1,COG4918@2	NA|NA|NA	S	Iron-sulphur cluster biosynthesis
ECPHKHJP_00054	546270.GEMHA0001_0584	2.3e-82	311.6	Bacillales incertae sedis	vanZ												Bacteria	1V7FP@1239,3WEZD@539002,4HNU9@91061,COG4767@1,COG4767@2	NA|NA|NA	V	VanZ like family
ECPHKHJP_00055	562981.HMPREF0428_00228	0.0	2008.8	Bacillales incertae sedis	isdH			ko:K13730	ko05100,map05100				ko00000,ko00001				Bacteria	1V266@1239,3WFE3@539002,4I2C9@91061,COG4886@1,COG4886@2,COG5386@1,COG5386@2	NA|NA|NA	M	Leucine rich repeat
ECPHKHJP_00056	546270.GEMHA0001_0581	1e-113	416.0	Bacilli	dsbC			ko:K07396					ko00000				Bacteria	1TQCC@1239,4HC36@91061,COG3531@1,COG3531@2	NA|NA|NA	O	Protein-disulfide isomerase
ECPHKHJP_00057	546270.GEMHA0001_0580	0.0	1401.3	Bacillales incertae sedis	recJ			ko:K07462	ko03410,ko03430,ko03440,map03410,map03430,map03440				ko00000,ko00001,ko01000,ko03400				Bacteria	1TPXE@1239,3WE13@539002,4H9UP@91061,COG0608@1,COG0608@2	NA|NA|NA	L	exonuclease RecJ
ECPHKHJP_00058	546270.GEMHA0001_0579	1.8e-38	164.9	Bacillales incertae sedis													Bacteria	1TXIQ@1239,29I49@1,3051A@2,3WF20@539002,4I6I7@91061	NA|NA|NA	S	Pfam:DUF1049
ECPHKHJP_00059	546270.GEMHA0001_0578	0.0	1236.1	Bacillales incertae sedis	ligA	GO:0003674,GO:0003824,GO:0003909,GO:0003911,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006266,GO:0006281,GO:0006284,GO:0006288,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0016874,GO:0016886,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051103,GO:0051716,GO:0071704,GO:0090304,GO:0140097,GO:1901360	6.5.1.2	ko:K01972,ko:K10754	ko03030,ko03410,ko03420,ko03430,map03030,map03410,map03420,map03430	M00289,M00295	R00382	RC00005	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400				Bacteria	1TPQ3@1239,3WDWZ@539002,4HA1D@91061,COG0272@1,COG0272@2	NA|NA|NA	L	DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA
ECPHKHJP_00060	546270.GEMHA0001_0577	0.0	1363.6	Bacillales incertae sedis	pcrA		3.6.4.12	ko:K03656,ko:K03657	ko03420,ko03430,map03420,map03430				ko00000,ko00001,ko01000,ko03400				Bacteria	1TPSU@1239,3WEIR@539002,4HB12@91061,COG0210@1,COG0210@2	NA|NA|NA	L	ATP-dependent DNA helicase
ECPHKHJP_00061	546270.GEMHA0001_0576	3e-204	717.6	Bacillales incertae sedis	recA	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0007154,GO:0008150,GO:0008152,GO:0009292,GO:0009294,GO:0009432,GO:0009605,GO:0009987,GO:0009991,GO:0030420,GO:0031668,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0044764,GO:0046483,GO:0050896,GO:0051704,GO:0051716,GO:0071496,GO:0071704,GO:0090304,GO:1901360		ko:K03553	ko03440,map03440	M00729			ko00000,ko00001,ko00002,ko03400				Bacteria	1TPD5@1239,3WE36@539002,4HAG5@91061,COG0468@1,COG0468@2	NA|NA|NA	L	Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage
ECPHKHJP_00062	546270.GEMHA0001_0575	5.3e-167	593.6	Bacillales incertae sedis	yisK												Bacteria	1TQDQ@1239,3WE63@539002,4HCBR@91061,COG0179@1,COG0179@2	NA|NA|NA	Q	Fumarylacetoacetate (FAA) hydrolase family
ECPHKHJP_00063	546270.GEMHA0001_0574	1.6e-297	1028.1	Bacillales incertae sedis	uvrC	GO:0005575,GO:0005622,GO:0005623,GO:0006950,GO:0006974,GO:0008150,GO:0009380,GO:0009987,GO:0032991,GO:0033554,GO:0044424,GO:0044464,GO:0050896,GO:0051716,GO:1902494,GO:1905347,GO:1905348,GO:1990391		ko:K03703	ko03420,map03420				ko00000,ko00001,ko03400				Bacteria	1TP4B@1239,3WE78@539002,4H9QH@91061,COG0322@1,COG0322@2	NA|NA|NA	L	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision
ECPHKHJP_00064	546270.GEMHA0001_0573	9e-286	989.2	Bacillales incertae sedis													Bacteria	1TP3F@1239,3WEHU@539002,4H9KD@91061,COG0515@1,COG0515@2	NA|NA|NA	KLT	serine threonine protein kinase
ECPHKHJP_00065	546270.GEMHA0001_0572	1.3e-131	475.7	Bacillales incertae sedis	stp		3.1.3.16	ko:K20074					ko00000,ko01000,ko01009				Bacteria	1V6K5@1239,3WE2M@539002,4HCDR@91061,COG0631@1,COG0631@2	NA|NA|NA	T	Sigma factor PP2C-like phosphatases
ECPHKHJP_00066	546270.GEMHA0001_0571	1.3e-212	745.3	Bacillales incertae sedis	rlmN	GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0006139,GO:0006364,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008168,GO:0008173,GO:0008175,GO:0008649,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016740,GO:0016741,GO:0022613,GO:0030488,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0070475,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140101,GO:0140102,GO:1901360	2.1.1.192	ko:K06941					ko00000,ko01000,ko03009				Bacteria	1TPVF@1239,3WEA0@539002,4H9NU@91061,COG0820@1,COG0820@2	NA|NA|NA	J	Specifically methylates position 2 of adenine 2503 in 23S rRNA and position 2 of adenine 37 in tRNAs
ECPHKHJP_00067	546270.GEMHA0001_0570	1.9e-234	818.1	Bacillales incertae sedis	sun	GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008169,GO:0008173,GO:0008649,GO:0008757,GO:0009383,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016434,GO:0016740,GO:0016741,GO:0022613,GO:0030312,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0070475,GO:0071704,GO:0071840,GO:0071944,GO:0090304,GO:0140098,GO:0140102,GO:1901360	2.1.1.176	ko:K03500					ko00000,ko01000,ko03009				Bacteria	1TP3N@1239,3WE4X@539002,4HBQ6@91061,COG0144@1,COG0144@2,COG0781@1,COG0781@2	NA|NA|NA	J	Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA
ECPHKHJP_00068	546270.GEMHA0001_0569	2.5e-175	621.3	Bacillales incertae sedis	fmt	GO:0003674,GO:0003824,GO:0004479,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006412,GO:0006413,GO:0006464,GO:0006518,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016741,GO:0016742,GO:0019538,GO:0019988,GO:0034470,GO:0034641,GO:0034645,GO:0034660,GO:0036211,GO:0043043,GO:0043170,GO:0043412,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0046483,GO:0071704,GO:0071951,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576	2.1.2.9	ko:K00604	ko00670,ko00970,map00670,map00970		R03940	RC00026,RC00165	ko00000,ko00001,ko01000			iSB619.SA_RS06010	Bacteria	1TQ32@1239,3WEBX@539002,4HART@91061,COG0223@1,COG0223@2	NA|NA|NA	J	Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus
ECPHKHJP_00069	546270.GEMHA0001_0568	6.4e-74	283.5	Bacillales incertae sedis	ogt	GO:0003674,GO:0003824,GO:0003908,GO:0006139,GO:0006259,GO:0006281,GO:0006304,GO:0006307,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008168,GO:0008172,GO:0009987,GO:0016740,GO:0016741,GO:0032259,GO:0033554,GO:0034641,GO:0035510,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:1901360	2.1.1.63	ko:K00567					ko00000,ko01000,ko03400				Bacteria	1V2MB@1239,3WFY1@539002,4HJGF@91061,COG0350@1,COG0350@2	NA|NA|NA	L	6-O-methylguanine DNA methyltransferase, DNA binding domain
